127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/jquery-min.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/popper.min.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/bootstrap.min.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/jquery.countdown.min.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/jquery.nav.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/jquery.easing.min.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/wow.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/jquery.slicknav.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/nivo-lightbox.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:25 +0530] "GET /assets/js/main.js HTTP/1.1" 200 0 
127.0.0.1 - - [12/Nov/2020:17:18:26 +0530] "GET /new-user.html HTTP/1.1" 200 9542 
127.0.0.1 - - [12/Nov/2020:17:18:38 +0530] "POST /posting.py HTTP/1.1" 200 133 
127.0.0.1 - - [12/Nov/2020:17:24:19 +0530] "GET / HTTP/1.1" 200 66 
127.0.0.1 - - [12/Nov/2020:17:35:52 +0530] "GET /favicon.ico HTTP/1.1" 200 10536 
127.0.0.1 - - [12/Nov/2020:17:37:11 +0530] "GET / HTTP/1.1" 200 66 
127.0.0.1 - - [12/Nov/2020:17:37:11 +0530] "GET /favicon.ico HTTP/1.1" 200 10536 
127.0.0.1 - - [12/Nov/2020:17:37:25 +0530] "GET /proxy/proxyfile.html HTTP/1.1" 407 0 
127.0.0.1 - - [12/Nov/2020:17:37:25 +0530] "GET /proxy/proxyfile.html HTTP/1.1" 407 0 
127.0.0.1 - - [12/Nov/2020:17:37:30 +0530] "GET /proxy/proxyfile.html HTTP/1.1" 407 0 
127.0.0.1 - - [12/Nov/2020:17:37:35 +0530] "GET /auth_file.html HTTP/1.1" 401 0 
127.0.0.1 - - [12/Nov/2020:17:37:42 +0530] "GET /auth_file.html HTTP/1.1" 200 78 
127.0.0.1 - - [12/Nov/2020:18:06:49 +0530] "GET / HTTP/1.1" 200 66 
127.0.0.1 - - [12/Nov/2020:18:06:49 +0530] "GET /favicon.ico HTTP/1.1" 200 10536 
127.0.0.1 - - [12/Nov/2020:18:13:48 +0530] "GET / HTTP/1.1" 200 66 
127.0.0.1 - - [12/Nov/2020:18:13:48 +0530] "GET /favicon.ico HTTP/1.1" 200 10536 
127.0.0.1 - - [12/Nov/2020:18:19:36 +0530] "GET / HTTP/1.1" 200 66 
127.0.0.1 - - [12/Nov/2020:18:20:25 +0530] "GET / HTTP/1.1" 200 66 
